task,start_ns,duration_ns
automaton,277622008,2967182
construct_escape_carry_index,277651584,9679
prepare_kernel_input,277661463,329041
construct_combined_index_npu,278029087,2973484
npu_kernel_run,278222472,493302
read_kernel_output,278716745,482010
automaton,280589852,3186515
construct_escape_carry_index,280623385,8756
prepare_kernel_input,280632342,332317
construct_combined_index_npu,281003072,3163182
npu_kernel_run,281196006,536944
read_kernel_output,281733891,563665
automaton,283776728,3191946
construct_escape_carry_index,283798649,8967
prepare_kernel_input,283807697,320585
construct_combined_index_npu,284166754,3185144
npu_kernel_run,284359779,525191
read_kernel_output,284885902,471410
automaton,286969115,3031503
construct_escape_carry_index,286987470,10730
prepare_kernel_input,286998400,317029
construct_combined_index_npu,287352409,3032595
npu_kernel_run,287545463,493622
read_kernel_output,288039416,461802
automaton,290001069,3088180
construct_escape_carry_index,290013182,9618
prepare_kernel_input,290022880,326256
construct_combined_index_npu,290385505,3110502
npu_kernel_run,290578950,491268
read_kernel_output,291070558,453687
automaton,293089881,2954858
construct_escape_carry_index,293097756,10169
prepare_kernel_input,293108135,351013
construct_combined_index_npu,293496548,2944980
npu_kernel_run,293689783,482591
read_kernel_output,294172765,455660
automaton,296045120,2989354
construct_escape_carry_index,296053185,9558
prepare_kernel_input,296062843,342287
construct_combined_index_npu,296442039,2982481
npu_kernel_run,296637669,501857
read_kernel_output,297139957,449068
automaton,299035085,2874767
construct_escape_carry_index,299044983,9649
prepare_kernel_input,299054712,333670
construct_combined_index_npu,299425181,2867073
npu_kernel_run,299620059,487330
read_kernel_output,300107650,438698
automaton,301910323,2888714
construct_escape_carry_index,301920823,9818
prepare_kernel_input,301930721,325846
construct_combined_index_npu,302292925,2889515
npu_kernel_run,302487042,478784
read_kernel_output,302966186,448207
automaton,304799417,2788234
construct_escape_carry_index,304806721,11011
prepare_kernel_input,304817832,328821
construct_combined_index_npu,305182971,2812701
npu_kernel_run,305376226,478383
read_kernel_output,305854950,432106
automaton,307588172,2685580
construct_escape_carry_index,307598983,10950
prepare_kernel_input,307610014,349710
construct_combined_index_npu,307996173,2677274
npu_kernel_run,308190730,474626
read_kernel_output,308665787,461691
automaton,310274253,2719114
construct_escape_carry_index,310279052,17273
prepare_kernel_input,310296395,341395
construct_combined_index_npu,310673908,2712912
npu_kernel_run,310867013,482611
